domain,target,feature_set,route,model,final_n_labeled,final_prefix_mae,auc_mae,n90,reference_baseline_mae,final_mae_delta_vs_reference,source_manifest,source_summary
P7,isolated_yield_percent,rdkit_morgan_stage2p,performance_first,ridge,38,16.006260887685386,666.4789469757424,2,14.741617357001973,1.2646435306834132,data/jacs_2025/scope_progression/scope-progression-manifest.json,data/jacs_2025/scope_progression/learning-curve-summary.csv
P7,isolated_yield_percent,rdkit_morgan_stage2p,performance_first,tanimoto_knn,38,0.5092388479151424,513.3257625857059,15,14.741617357001973,-14.23237850908683,data/jacs_2025/scope_progression/scope-progression-manifest.json,data/jacs_2025/scope_progression/learning-curve-summary.csv
P7,isolated_yield_percent,rdkit_morgan_stage2p,random,ridge,38,18.446856311600737,639.4242840130262,4,14.741617357001973,3.705238954598764,data/jacs_2025/scope_progression/scope-progression-manifest.json,data/jacs_2025/scope_progression/learning-curve-summary.csv
P7,isolated_yield_percent,rdkit_morgan_stage2p,random,tanimoto_knn,38,13.461070239743771,484.75192688174315,26,14.741617357001973,-1.2805471172582017,data/jacs_2025/scope_progression/scope-progression-manifest.json,data/jacs_2025/scope_progression/learning-curve-summary.csv
P7,isolated_yield_percent,rdkit_morgan_stage2p,uncertainty_diversity,elastic_net,38,15.999427132509865,547.1817057522234,2,14.741617357001973,1.2578097755078925,data/jacs_2025/scope_progression/scope-progression-manifest.json,data/jacs_2025/scope_progression/learning-curve-summary.csv
P7,isolated_yield_percent,rdkit_morgan_stage2p,uncertainty_diversity,ridge,38,16.006781343443905,554.1639035458414,2,14.741617357001973,1.265163986441932,data/jacs_2025/scope_progression/scope-progression-manifest.json,data/jacs_2025/scope_progression/learning-curve-summary.csv
P7,isolated_yield_percent,rdkit_morgan_stage2p,uncertainty_diversity,tanimoto_knn,38,0.5092388479151424,452.9418556675523,15,14.741617357001973,-14.23237850908683,data/jacs_2025/scope_progression/scope-progression-manifest.json,data/jacs_2025/scope_progression/learning-curve-summary.csv
CMC-Por aryl,ee_percent,rdkit_morgan_stage2p,diversity_first,elastic_net,25,4.11104475324845,217.78087841613055,13,11.57988165680473,-7.46883690355628,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,ee_percent,rdkit_morgan_stage2p,diversity_first,ridge,25,4.140820748048199,221.20270022031536,14,11.57988165680473,-7.439060908756531,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,ee_percent,rdkit_morgan_stage2p,diversity_first,tanimoto_knn,25,2.0894801810193115,171.51489982294493,13,11.57988165680473,-9.490401475785418,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,ee_percent,rdkit_morgan_stage2p,historical_order,elastic_net,25,5.351928123768715,292.4629336047309,12,11.57988165680473,-6.227953533036015,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,ee_percent,rdkit_morgan_stage2p,historical_order,ridge,25,8.772583104247289,297.249995084267,16,11.57988165680473,-2.807298552557441,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,ee_percent,rdkit_morgan_stage2p,historical_order,tanimoto_knn,25,1.4821313849076034,238.72123393957128,7,11.57988165680473,-10.097750271897127,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,ee_percent,rdkit_morgan_stage2p,performance_first,elastic_net,25,5.351928123768715,336.98900790417355,23,11.57988165680473,-6.227953533036015,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,ee_percent,rdkit_morgan_stage2p,performance_first,ridge,25,8.772611305254912,331.0206318936494,23,11.57988165680473,-2.8072703515498176,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,ee_percent,rdkit_morgan_stage2p,performance_first,tanimoto_knn,25,1.4821313849076034,187.6660564763861,6,11.57988165680473,-10.097750271897127,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,ee_percent,rdkit_morgan_stage2p,random,ridge,25,10.64446646975816,274.59550895979737,19,11.57988165680473,-0.9354151870465692,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,ee_percent,rdkit_morgan_stage2p,random,tanimoto_knn,25,9.781047948353073,225.75872207636334,12,11.57988165680473,-1.7988337084516566,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,ee_percent,rdkit_morgan_stage2p,uncertainty_diversity,elastic_net,25,4.11104475324845,193.9397174459578,6,11.57988165680473,-7.46883690355628,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,ee_percent,rdkit_morgan_stage2p,uncertainty_diversity,ridge,25,4.140820602246762,195.8901033912489,8,11.57988165680473,-7.439061054557968,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,ee_percent,rdkit_morgan_stage2p,uncertainty_diversity,tanimoto_knn,25,2.0894801810193115,175.44297991773405,14,11.57988165680473,-9.490401475785418,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,isolated_yield_percent,rdkit_morgan_stage2p,diversity_first,elastic_net,25,35.58168762755187,453.0583472511481,6,15.0,20.581687627551872,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
