model_name,structure_only_mae,structure_pose_mae,mae_delta_structure_minus_pose,structure_only_rmse,structure_pose_rmse,rmse_delta_structure_minus_pose,structure_only_r2,structure_pose_r2,r2_delta_pose_minus_structure,structure_only_within_10_ee_fraction,structure_pose_within_10_ee_fraction,structure_only_mae_ci95_low,structure_only_mae_ci95_high,structure_pose_mae_ci95_low,structure_pose_mae_ci95_high
elastic_net,10.405987336025584,9.334236724367795,1.071750611657789,13.52465254562158,12.557486382153257,0.9671661634683222,0.2570007537790777,0.35946690832274963,0.10246615454367192,0.6052631578947368,0.631578947368421,7.967904090513593,13.390915860284652,6.872150158400896,12.195780198438879
gaussian_process,14.104824000820622,14.104822400829661,1.5999909610542318e-06,16.65508195616849,16.655080837151214,1.1190172770625395e-06,-0.1267555034048471,-0.12675535199654586,1.5140830122994942e-07,0.2894736842105263,0.2894736842105263,11.582438677097116,17.128965165098535,11.582435946785086,17.12896487624394
lightgbm,9.868865509810803,9.456505255515648,0.4123602542951552,14.91499561383066,14.254235199579362,0.660760414251298,0.09638714695397976,0.17467693793015604,0.07828979097617628,0.6842105263157895,0.6578947368421053,6.642536193496914,13.709424822789565,6.423811069737658,13.186735843546982
ridge_regression,11.828462046896368,11.914145651438107,-0.08568360454173884,14.494536121344732,15.320752948094581,-0.8262168267498495,0.14661543904784435,0.04655343431624115,-0.1000620047316032,0.47368421052631576,0.5526315789473685,9.368406898656351,14.616702735566463,9.070543887301081,15.134553690980598
