substrate_id,family_id,pathway_id,atom_map_id,site_id,site_type,is_target_site,rule_estimated_bde,rule_bde_class,reference_xtb_bde,xtb_within_substrate_rank,rule_bde_confidence
1u,carbonyl-heterocycle-fused,aryl,10,1u-c10-benzylic,benzylic,False,85.0,very_low,109.41231967989619,3,high
1u,carbonyl-heterocycle-fused,aryl,11,1u-c11-benzylic,benzylic,True,85.0,very_low,109.21023861974919,2,high
1u,carbonyl-heterocycle-fused,aryl,19,1u-c19-benzylic,benzylic,False,90.3325,low,101.9691567329757,1,high
1v,sulfur-heteroaryl,aryl,10,1v-c10-benzylic,benzylic,False,85.0,very_low,109.37783636449977,1,high
1v,sulfur-heteroaryl,aryl,11,1v-c11-benzylic,benzylic,True,85.0,very_low,110.3201222632064,2,high
1w,sulfur-heteroaryl-fused,aryl,10,1w-c10-benzylic,benzylic,False,85.0,very_low,109.39933978698609,2,high
1w,sulfur-heteroaryl-fused,aryl,11,1w-c11-benzylic,benzylic,True,85.0,very_low,105.07623788359919,1,high
1x,sulfur-heteroaryl-fused,aryl,10,1x-c10-benzylic,benzylic,False,85.0,very_low,109.88608716534851,2,high
1x,sulfur-heteroaryl-fused,aryl,11,1x-c11-benzylic,benzylic,True,85.0,very_low,108.69579007034835,1,high
1y,sulfur-heterocycle-fused,aryl,10,1y-c10-benzylic,benzylic,False,85.0,very_low,112.36256405121888,3,high
1y,sulfur-heterocycle-fused,aryl,11,1y-c11-benzylic,benzylic,True,85.0,very_low,108.76455719580868,2,high
1y,sulfur-heterocycle-fused,aryl,17,1y-c17-cycloalkyl,cycloalkyl,False,88.0,low,113.57720369453625,4,high
1y,sulfur-heterocycle-fused,aryl,18,1y-c18-benzylic,benzylic,False,85.0,very_low,104.53737592312034,1,high
1aa,nitrogen-heteroaryl,aryl,10,1aa-c10-benzylic,benzylic,False,85.0,very_low,112.92326223007511,2,high
1aa,nitrogen-heteroaryl,aryl,11,1aa-c11-benzylic,benzylic,True,85.0,very_low,110.91928476666912,1,high
