candidate_id,smiles,provenance,canonical_smiles,contract_valid,rejection_reasons,ad_max_morgan_tanimoto,ad_status
enum-050073,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)C)cc(C1CCCC1)c2,deterministic-enumeration,CC(C)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C2CCCC2)c1,true,,0.383333,in_domain
enum-050074,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)C)cc(c1ccncc1)c2,deterministic-enumeration,CC(C)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(-c2ccncc2)c1,true,,0.389831,in_domain
enum-050075,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)C)cc(c1ccoc1)c2,deterministic-enumeration,CC(C)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(-c2ccoc2)c1,true,,0.448276,in_domain
enum-050076,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)C)cc(c1ccsc1)c2,deterministic-enumeration,CC(C)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(-c2ccsc2)c1,true,,0.423729,in_domain
enum-050077,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)C)cc(C(=O)N)c2,deterministic-enumeration,CC(C)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(N)=O)c1,true,,0.389831,in_domain
enum-050078,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)C)cc(C(C)O)c2,deterministic-enumeration,CC(C)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(C)O)c1,true,,0.425926,in_domain
enum-050079,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)C)cc(C(C)F)c2,deterministic-enumeration,CC(C)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(C)F)c1,true,,0.425926,in_domain
enum-050080,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)C)cc(C(C)Cl)c2,deterministic-enumeration,CC(C)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(C)Cl)c1,true,,0.460000,in_domain
enum-050081,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)C)cc(C(C)Br)c2,deterministic-enumeration,CC(C)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(C)Br)c1,true,,0.425926,in_domain
enum-050082,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)C)cc(C(C)C#N)c2,deterministic-enumeration,CC(C)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(C)C#N)c1,true,,0.403509,in_domain
