candidate_id,canonical_smiles,inchi_key,supplier,evidence_level,catalogue_number,region,pack,price,currency,lead_time_days,accessed_at,source_locator,source_hash,identity_match,route_enabled,chemist_reviewer,safety_reviewer,notes
CMC-A01,,,,,,,,,,,,,,,,,,
CMC-A02,,,,,,,,,,,,,,,,,,
CMC-A03,,,,,,,,,,,,,,,,,,
CMC-A04,,,,,,,,,,,,,,,,,,
CMC-A05,,,,,,,,,,,,,,,,,,
CMC-A06,,,,,,,,,,,,,,,,,,
CMC-A07,,,,,,,,,,,,,,,,,,
CMC-A08,,,,,,,,,,,,,,,,,,
CMC-B01,,,,,,,,,,,,,,,,,,
CMC-B02,,,,,,,,,,,,,,,,,,
CMC-B03,,,,,,,,,,,,,,,,,,
CMC-B04,,,,,,,,,,,,,,,,,,
CMC-B05,,,,,,,,,,,,,,,,,,
CMC-B06,,,,,,,,,,,,,,,,,,
CMC-B07,,,,,,,,,,,,,,,,,,
CMC-B08,,,,,,,,,,,,,,,,,,
