feature_name,mean,std,spearman_ee,pearson_ee
stage2p:directional_antisymmetry:all_heavy:axial_mean:mean,2.751190821978536,1.0691324375330447,0.33438664474510343,0.37375297081782904
stage2p:directional_antisymmetry:hetero:axial_mean:mean,4.244781403259737,4.279385271712086,0.27854086425836955,0.29314080349376836
stage2p:directional_symmetry:all_heavy:axial_mean:mean,1.7590962982702911,0.528684139170453,-0.03699717099798019,0.04704261473486181
stage2p:directional_symmetry:hetero:axial_mean:mean,1.4697631034102872,0.854847632301673,0.24729822580715974,0.20658226873918642
stage2p:h_to_n:all_heavy:axial_mean:all_200:mean,0.38350088728102305,0.6620062955203512,-0.15373124742926628,-0.26423468971683844
stage2p:h_to_n:all_heavy:axial_mean:bottom_100:mean,0.18903327051628707,0.6994921746715742,-0.4816222056632739,-0.4594054392044144
stage2p:h_to_n:all_heavy:axial_mean:top_100:mean,0.5779685040457591,1.0568676226869642,0.09235171691862229,-0.02696605122344924
stage2p:h_to_n:all_heavy:axial_q90:all_200:mean,3.152004122581915,0.5704794143637402,0.08886852270252749,0.13939125647658368
stage2p:h_to_n:all_heavy:axial_q90:bottom_100:mean,3.1529997004828845,0.4793713628025059,0.08133729196502515,0.1338978808077142
stage2p:h_to_n:all_heavy:axial_q90:top_100:mean,3.151008544680946,0.7370181280348759,0.1648398127670822,0.1286981575041053
stage2p:h_to_n:all_heavy:corridor_fraction:all_200:mean,0.27171356968195204,0.10933581771437141,-0.20927608944102946,-0.20257500858793281
stage2p:h_to_n:all_heavy:corridor_fraction:bottom_100:mean,0.26050861120089064,0.10600230694812468,-0.2879497442459523,-0.2605727682271103
stage2p:h_to_n:all_heavy:corridor_fraction:top_100:mean,0.28291852816301344,0.1413147858835276,-0.03117766548898858,-0.11800671642899925
stage2p:h_to_n:hetero:axial_mean:all_200:mean,-0.6526275982195813,2.1794797976824114,-0.1558356377128323,-0.20676257503122022
stage2p:h_to_n:hetero:axial_mean:bottom_100:mean,-0.7331665569557682,2.429276438773222,-0.18273639891704627,-0.2657505236002711
stage2p:h_to_n:hetero:axial_mean:top_100:mean,-0.5720886394833947,2.175207001065375,-0.10590404937237907,-0.11754661726247653
stage2p:h_to_n:hetero:axial_q90:all_200:mean,-0.31600151498881657,2.5042042449318873,-0.18877727160851887,-0.14479406080530338
stage2p:h_to_n:hetero:axial_q90:bottom_100:mean,-0.4236868770347774,2.6972072080385896,-0.1858512238985868,-0.2021130649783334
stage2p:h_to_n:hetero:axial_q90:top_100:mean,-0.20831615294285571,2.5303075703088447,-0.11137859024902612,-0.07115616687611784
stage2p:h_to_n:hetero:corridor_fraction:all_200:mean,0.14522916666666666,0.2807296413106687,-0.0896864084473471,-0.28433844196624075
stage2p:h_to_n:hetero:corridor_fraction:bottom_100:mean,0.13574999999999998,0.28092010281691604,-0.0970372471612058,-0.327345178603432
stage2p:h_to_n:hetero:corridor_fraction:top_100:mean,0.15470833333333336,0.3012296299014351,-0.11284657152671647,-0.22470105759610726
stage2p:hydrogen:all_heavy:angular_even_norm:all_200:mean,0.23741183920969525,0.050427102096850474,0.21567562024522294,0.1333710886972457
stage2p:hydrogen:all_heavy:angular_even_norm:bottom_100:mean,0.24401952499189186,0.0647465805848149,0.3169706736646293,0.2966705137646745
stage2p:hydrogen:all_heavy:angular_even_norm:top_100:mean,0.23080415342749863,0.067221372200016,0.030501484486884424,-0.08564785462075622
