feature_name,mean,std,spearman_ee,pearson_ee
stage2pp_flexibility:stage2pp:flexibility:c_to_h_distance:all_200:mean,1.1109041472537742,0.001962562784176248,-0.21182707608169649,-0.22901512120583678
stage2pp_flexibility:stage2pp:flexibility:c_to_h_distance:all_200:median,1.1106629217012383,0.0024640915253099525,-0.17908666781759408,-0.24934696750074523
stage2pp_flexibility:stage2pp:flexibility:c_to_h_distance:all_200:q10,1.1099041164688814,0.0026682540329307346,-0.21750015710249548,-0.22419146141026094
stage2pp_flexibility:stage2pp:flexibility:c_to_h_distance:all_200:q90,1.1116833843218006,0.0015687862416182859,-0.20879822774008355,-0.1727168547563345
stage2pp_flexibility:stage2pp:flexibility:c_to_h_distance:all_200:std,0.0007498240728926666,0.0008037977462226807,0.29254828823357315,0.21839478795797643
stage2pp_flexibility:stage2pp:flexibility:c_to_h_distance:bottom_100:mean,1.110830108257918,0.0023895554695494087,-0.14004817808124875,-0.19288147539901085
stage2pp_flexibility:stage2pp:flexibility:c_to_h_distance:bottom_100:median,1.1108325281783271,0.002530969938840923,-0.12591355248705474,-0.18566774217738616
stage2pp_flexibility:stage2pp:flexibility:c_to_h_distance:bottom_100:q10,1.1102472525602196,0.0027287542472935575,-0.12028854842405916,-0.19512112051476824
stage2pp_flexibility:stage2pp:flexibility:c_to_h_distance:bottom_100:q90,1.1112139371309422,0.0023487953044931857,-0.09769237825647012,-0.1806775726449085
stage2pp_flexibility:stage2pp:flexibility:c_to_h_distance:bottom_100:std,0.00044725025837925045,0.0007890818507747101,-0.09177891244665425,0.0871317301286992
stage2pp_flexibility:stage2pp:flexibility:c_to_h_distance:top_100:mean,1.1109781862496309,0.0018069335815508892,-0.24586556220649022,-0.24240632181619715
stage2pp_flexibility:stage2pp:flexibility:c_to_h_distance:top_100:median,1.110932389151022,0.0018720531408885203,-0.2373559406752918,-0.20505527789061612
stage2pp_flexibility:stage2pp:flexibility:c_to_h_distance:top_100:q10,1.1106855246483818,0.002023565240345863,-0.2387020954937865,-0.17674902687501887
stage2pp_flexibility:stage2pp:flexibility:c_to_h_distance:top_100:q90,1.111188074964533,0.001873129702841419,-0.25408672199086835,-0.27813953655272117
stage2pp_flexibility:stage2pp:flexibility:c_to_h_distance:top_100:std,0.00020648840949814604,0.0005183541239415256,-0.14634625955349165,-0.13465103130451236
stage2pp_flexibility:stage2pp:flexibility:corridor_axial_mean:all_200:mean,3.6230037375193316,1.1653524892777407,0.5446157779966996,0.5217351461252739
stage2pp_flexibility:stage2pp:flexibility:corridor_axial_mean:all_200:median,3.46361037955166,1.2517515606775451,0.45596186780726505,0.4208901481689752
stage2pp_flexibility:stage2pp:flexibility:corridor_axial_mean:all_200:q10,2.8741121496217996,1.2690906130194803,0.6118273650058261,0.6692820282410319
stage2pp_flexibility:stage2pp:flexibility:corridor_axial_mean:all_200:q90,4.241537419174857,1.2005005957888848,0.46894264641417793,0.40460888332417494
stage2pp_flexibility:stage2pp:flexibility:corridor_axial_mean:all_200:std,0.5815305461112864,0.3509177259585622,-0.1818270544123868,-0.44376161516523316
stage2pp_flexibility:stage2pp:flexibility:corridor_axial_mean:bottom_100:mean,3.7444151404432624,1.473758940316442,0.54846193462097,0.5760264363798459
stage2pp_flexibility:stage2pp:flexibility:corridor_axial_mean:bottom_100:median,3.6366251079808025,1.622501744383339,0.577356186260802,0.6471560336160412
stage2pp_flexibility:stage2pp:flexibility:corridor_axial_mean:bottom_100:q10,3.439455814456253,1.644325050174425,0.5948081219434291,0.6467825211167898
stage2pp_flexibility:stage2pp:flexibility:corridor_axial_mean:bottom_100:q90,4.032078688374119,1.3744914698694568,0.46192341057488423,0.47642611519902495
stage2pp_flexibility:stage2pp:flexibility:corridor_axial_mean:bottom_100:std,0.2745012884549772,0.3741408598261721,-0.3156733049369994,-0.6496045261134407
stage2pp_flexibility:stage2pp:flexibility:corridor_axial_mean:top_100:mean,3.5015923345954003,1.0555836225634947,0.4675003376800765,0.3477569983481333
stage2pp_flexibility:stage2pp:flexibility:corridor_axial_mean:top_100:median,3.431519476531901,1.0548786497921623,0.4758657283378648,0.35901398093391323
stage2pp_flexibility:stage2pp:flexibility:corridor_axial_mean:top_100:q10,3.29033765345704,1.097805999305178,0.44677916886681934,0.3429765535647648
stage2pp_flexibility:stage2pp:flexibility:corridor_axial_mean:top_100:q90,3.712557600829764,1.1413928386858034,0.4342791598379402,0.3254990688834181
stage2pp_flexibility:stage2pp:flexibility:corridor_axial_mean:top_100:std,0.18693771670967557,0.26972800233963357,-0.05826927285769772,-0.03939744462274437
stage2pp_flexibility:stage2pp:flexibility:corridor_fraction:all_200:mean,0.3199390556923693,0.12369305736753501,0.2448073426942602,0.31705895606010887
stage2pp_flexibility:stage2pp:flexibility:corridor_fraction:all_200:median,0.2964822859459101,0.13272531772829804,0.16013284281138918,0.2281498906929633
stage2pp_flexibility:stage2pp:flexibility:corridor_fraction:all_200:q10,0.25527269780443157,0.11959804675642627,0.249109220621824,0.2991906327349024
stage2pp_flexibility:stage2pp:flexibility:corridor_fraction:all_200:q90,0.40567553193280753,0.1672687714715451,0.10954226774447579,0.2693673815756515
stage2pp_flexibility:stage2pp:flexibility:corridor_fraction:all_200:std,0.06513431047273084,0.05691311541153341,-0.12997737554279518,0.08770364006803025
stage2pp_flexibility:stage2pp:flexibility:corridor_fraction:bottom_100:mean,0.3034236969471415,0.12360151282960051,0.15465067448006348,0.2270813328786692
stage2pp_flexibility:stage2pp:flexibility:corridor_fraction:bottom_100:median,0.29936127829858483,0.1338240465480846,0.14818381165037334,0.2032217807600134
stage2pp_flexibility:stage2pp:flexibility:corridor_fraction:bottom_100:q10,0.2611991683926669,0.12265687154833482,0.25397704033732543,0.2964763049348342
stage2pp_flexibility:stage2pp:flexibility:corridor_fraction:bottom_100:q90,0.33941976841527927,0.14623429198847882,0.0749410631471999,0.17171338616032997
