feature_name,mean,std,spearman_ee,pearson_ee
stage2p:directional_antisymmetry:all_heavy:axial_mean:mean,3.2284265849896134,1.07260161764779,0.4063165640203174,0.3710714018407017
stage2p:directional_antisymmetry:hetero:axial_mean:mean,4.190147208682641,3.1806597082211288,0.07400271038284267,0.10919490615971948
stage2p:directional_symmetry:all_heavy:axial_mean:mean,2.123683300529097,0.8127689140655725,0.40130981962954576,0.514342727982616
stage2p:directional_symmetry:hetero:axial_mean:mean,1.9473159897885397,1.058000246363602,0.34149167395415936,0.3985173666123972
stage2p:h_to_n:all_heavy:axial_mean:all_200:mean,0.5094700080342909,0.7534861562258617,0.25495882974545037,0.2906966315592306
stage2p:h_to_n:all_heavy:axial_mean:bottom_100:mean,0.14848990235010295,0.5717818338735698,-0.24032373075704086,-0.25675733360724345
stage2p:h_to_n:all_heavy:axial_mean:top_100:mean,0.8704501137184789,1.1738442963680635,0.44675565333039635,0.49826110325094286
stage2p:h_to_n:all_heavy:axial_q90:all_200:mean,3.492615358413002,0.8478827683130569,0.40400575891688434,0.5606406989506925
stage2p:h_to_n:all_heavy:axial_q90:bottom_100:mean,3.484434980622622,0.736817292021162,0.3997692828939237,0.5088700731576369
stage2p:h_to_n:all_heavy:axial_q90:top_100:mean,3.5007957362033824,0.9940632431892273,0.39668820942267957,0.5792095325531892
stage2p:h_to_n:all_heavy:corridor_fraction:all_200:mean,0.3223789910416381,0.14085883272760172,0.16483743071156007,0.2742724977371267
stage2p:h_to_n:all_heavy:corridor_fraction:bottom_100:mean,0.29627611979523744,0.1228119993097478,0.18677719198217932,0.2155309701821904
stage2p:h_to_n:all_heavy:corridor_fraction:top_100:mean,0.34848186228803874,0.1727964300259937,0.13801080439550092,0.2939737724453277
stage2p:h_to_n:hetero:axial_mean:all_200:mean,-0.14775761455278025,1.8751303808705932,0.16265179052895626,0.1322444323889391
stage2p:h_to_n:hetero:axial_mean:bottom_100:mean,-0.22410845635157636,2.223765401310447,-0.07284641803311075,-0.12706709707248293
stage2p:h_to_n:hetero:axial_mean:top_100:mean,-0.07140677275398426,1.843249671746784,0.44787057012949566,0.4223619468348756
